,focalLength,weight,gonadalWeight,maturityStage,species,Sex
562,43.0,2.0,98.0,3,1,1
563,42.5,1.5,55.0,2,1,1
564,40.0,1.0,107.0,3,1,1
565,40.0,1.5,66.0,3,1,1
566,41.0,1.0,69.0,3,1,1
567,40.0,1.0,761.0,3,1,0
568,43.0,1.3,0.0,0,1,1
569,34.5,0.65,0.0,3,1,1
570,43.0,1.2,0.0,4,1,0
571,40.0,1.1,0.0,3,1,1
572,40.0,1.3,0.0,3,1,1
573,39.5,1.0,0.0,3,1,1
574,39.0,0.9,0.0,3,1,1
575,47.4,1.7,0.0,3,1,1
576,39.0,0.96,0.0,2,1,1
577,43.5,1.5,0.0,3,1,1
578,40.0,0.95,0.0,3,1,1
579,39.7,0.94,0.0,3,1,1
580,42.5,1.3,61.74,3,1,0
581,62.0,2.7,0.0,3,1,1
582,48.0,0.4,40.0,0,1,0
583,47.5,1.6,0.0,0,1,0
584,49.3,1.6,0.0,1,1,1
585,49.5,1.5,0.0,2,1,1
586,50.0,1.6,0.0,4,1,0
587,63.0,3.2,53.8,4,1,0
588,41.0,1.21,78.36,2,1,0
589,59.28,8.64,69.63836201191265,2,1,0
590,33.0,0.505,69.63836201191265,2,1,1
591,32.0,0.505,69.63836201191265,2,1,1
592,60.0,3.714,85.76,3,1,0
593,52.0,1.815,69.63836201191265,0,1,1
594,66.5,5.3,150.72,3,1,0
595,42.0,1.14,22.11,3,1,0
596,42.5,1.145,61.53,3,1,0
597,41.0,0.98,69.63836201191265,2,1,1
598,40.0,0.85,77.84,3,1,0
599,39.0,0.86,54.7,2,1,0
600,85.76,6.98,69.63836201191265,3,1,0
601,61.14,3.7,61.14,3,1,0
602,66.0,4.615,143.13,3,1,0
603,64.0,3.96,69.63836201191265,0,1,1
604,40.5,1.055,36.055,3,1,0
605,40.0,1.075,39.25,3,1,0
606,40.0,0.975,69.63836201191265,2,1,1
607,42.0,1.095,19.53,3,1,0
608,60.0,2.86,77.46,4,2,0
609,57.0,2.93,37.58,4,2,0
610,58.0,2.98,66.65,3,2,0
611,63.0,3.62,136.56,2,2,0
612,61.0,3.22,83.61,3,2,1
613,55.0,2.52,34.27,1,2,0
614,62.0,2.61,140.01,2,2,0
615,63.0,3.52,83.61,2,2,1
616,60.0,3.53,174.65,3,2,0
617,60.0,3.42,138.7,3,2,0
618,58.5,2.99,23.34,1,2,0
619,60.0,2.9,72.25,1,2,0
620,55.0,2.48,110.0,3,2,0
621,58.5,3.09,106.61,3,2,0
622,61.0,3.333,65.31,1,2,1
623,60.0,3.435,115.63,2,2,1
624,59.0,3.18,101.56,1,2,1
625,58.0,2.79,60.85,3,2,0
626,62.0,3.06,83.31,3,2,0
627,60.0,3.19,61.03,1,2,1
628,61.0,30.055,109.69,2,2,0
629,60.0,3.28,42.14,1,2,0
630,58.0,3.04,29.64,1,2,1
631,62.0,3.466,130.0,3,2,0
632,61.0,3.86,96.69,2,2,0
633,58.0,2.806,66.94,1,2,1
634,58.5,3.08,54.91,2,2,0
635,60.0,2.78,22.54,1,2,1
636,60.0,3.095,83.43,1,2,0
637,59.5,3.185,38.33,2,2,1
638,61.9,3.835,104.2,3,2,0
639,58.5,3.4,40.92,2,2,1
640,55.0,2.6,9.3,4,2,0
641,57.0,2.905,45.9,2,2,0
642,56.0,2.905,69.63836201191265,1,2,0
643,46.0,1.54,69.63836201191265,1,2,1
644,47.0,1.5,69.63836201191265,1,2,1
645,53.8,2.23,2.37,0,2,1
646,56.7,2.615,5.04,0,2,1
647,51.7,1.87,6.3,0,2,0
648,51.2,1.86,1.06,0,2,1
649,46.8,1.51,2.75,0,2,0
650,54.1,2.345,13.5,0,2,0
651,88.1,1.615,0.64,0,2,1
652,54.4,2.46,14.83,0,2,0
653,54.3,2.43,2.59,0,2,1
654,47.6,1.605,0.68,0,2,0
655,50.5,1.99,4.11,0,2,1
656,48.7,1.68,2.48,0,2,0
657,55.6,2.6,14.51,0,2,0
658,46.3,1.415,0.37,0,2,1
659,50.1,1.89,2.39,0,2,0
660,470.0,1.6,1.81,0,2,0
661,60.0,3.0,14.57,0,2,0
662,58.1,2.93,15.17,0,2,0
663,59.4,6.226,17.93,0,2,0
664,60.0,6.58,8.84,0,2,1
665,65.59,97.41,30.95,1,2,0
666,56.2,2.66,3.14,0,2,1
667,54.6,1.435,0.16,0,2,1
668,55.5,2.515,16.61,0,2,0
669,51.5,1.765,0.93,0,2,1
670,54.8,2.37,15.3,0,2,0
671,51.6,0.215,15.0,0,2,0
672,58.1,2.87,7.91,0,2,1
673,46.3,1.64,0.67,0,2,1
674,49.5,2.045,19.05,0,2,0
675,55.1,2.775,13.72,0,2,0
676,51.3,1.895,4.01,0,2,0
677,49.9,1.815,4.17,0,2,0
